id,Dex Number,Region,Name,Type 1,Type 2,Ability 1,Ability 2,Hidden Ability,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Total,Weight (lb.),Height (m)
480,309,Hoenn,Electrike,electric,,Static,Lightning Rod,Minus,40,45,40,65,40,65,295,33.5,0.6
481,310,Hoenn,Manectric,electric,,Static,Lightning Rod,Minus,70,75,60,105,60,105,475,88.6,1.5
482,310,Hoenn,Mega Manectric,electric,,Intimidate,,,70,75,80,135,80,135,575,97,1.8
483,311,Hoenn,Plusle,electric,,Plus,,Lightning Rod,60,50,40,85,75,95,405,9.3,0.4
484,312,Hoenn,Minun,electric,,Minus,,Volt Absorb,60,40,50,75,85,95,405,9.3,0.4
485,313,Hoenn,Volbeat,bug,,Illuminate,Swarm,Prankster,65,73,75,47,85,85,430,39,0.7
486,314,Hoenn,Illumise,bug,,Oblivious,Tinted Lens,Prankster,65,47,75,73,85,85,430,39,0.6
487,315,Hoenn,Roselia-M,grass,poison,Natural Cure,Poison Point,Leaf Guard,50,60,45,100,80,65,400,4.4,0.3
488,315,Hoenn,Roselia-F,grass,poison,Natural Cure,Poison Point,Leaf Guard,50,60,45,100,80,65,400,4.4,0.3
489,316,Hoenn,Gulpin-M,poison,,Liquid Ooze,Sticky Hold,Gluttony,70,43,53,43,53,40,302,22.7,0.4
490,316,Hoenn,Gulpin-F,poison,,Liquid Ooze,Sticky Hold,Gluttony,70,43,53,43,53,40,302,22.7,0.4
491,317,Hoenn,Swalot-M,poison,,Liquid Ooze,Sticky Hold,Gluttony,100,73,83,73,83,55,467,176.4,1.7
492,317,Hoenn,Swalot-F,poison,,Liquid Ooze,Sticky Hold,Gluttony,100,73,83,73,83,55,467,176.4,1.7
493,318,Hoenn,Carvanha,water,dark,Rough Skin,,Speed Boost,45,90,20,65,20,65,305,45.9,0.8
494,319,Hoenn,Sharpedo,water,dark,Rough Skin,,Speed Boost,70,120,40,95,40,95,460,195.8,1.8
495,319,Hoenn,Mega Sharpedo,water,dark,Strong Jaw,,,70,140,70,110,65,105,560,287.3,2.5
496,320,Hoenn,Wailmer,water,,Water Veil,Oblivious,Pressure,130,70,35,70,35,60,400,286.6,2
497,321,Hoenn,Wailord,water,,Water Veil,Oblivious,Pressure,170,90,45,90,45,60,500,877.4,14.5
498,322,Hoenn,Numel-M,fire,ground,Oblivious,Simple,Own Tempo,60,60,40,65,45,35,305,52.9,0.7
499,322,Hoenn,Numel-F,fire,ground,Oblivious,Simple,Own Tempo,60,60,40,65,45,35,305,52.9,0.7
500,323,Hoenn,Camerupt-M,fire,ground,Magma Armor,Solid Rock,Anger Point,70,100,70,105,75,40,460,485,1.9
501,323,Hoenn,Camerupt-F,fire,ground,Magma Armor,Solid Rock,Anger Point,70,100,70,105,75,40,460,485,1.9
502,323,Hoenn,Mega Camerupt,fire,ground,Sheer Force,,,70,120,100,145,105,20,560,706.6,2.5
503,324,Hoenn,Torkoal,fire,,White Smoke,Drought,Shell Armor,70,85,140,85,70,20,470,177.3,0.5
504,325,Hoenn,Spoink,psychic,,Thick Fat,Own Tempo,Gluttony,60,25,35,70,80,60,330,67.5,0.7
505,326,Hoenn,Grumpig,psychic,,Thick Fat,Own Tempo,Gluttony,80,45,65,90,110,80,470,157.6,0.9
506,327,Hoenn,Spinda,normal,,Own Tempo,Tangled Feet,Contrary,60,60,60,60,60,60,360,11,1.1
507,328,Hoenn,Trapinch,ground,,Hyper Cutter,Arena Trap,Sheer Force,45,100,45,45,45,10,290,33.1,0.7
508,329,Hoenn,Vibrava,ground,dragon,Levitate,,,50,70,50,50,50,70,340,33.7,1.1
509,330,Hoenn,Flygon,ground,dragon,Levitate,,,80,100,80,80,80,100,520,180.8,2
510,331,Hoenn,Cacnea,grass,,Sand Veil,,Water Absorb,50,85,40,85,40,35,335,113.1,0.4
511,332,Hoenn,Cacturne-M,grass,dark,Sand Veil,,Water Absorb,70,115,60,115,60,55,475,170.6,1.3
512,332,Hoenn,Cacturne-F,grass,dark,Sand Veil,,Water Absorb,70,115,60,115,60,55,475,170.6,1.3
513,333,Hoenn,Swablu,normal,flying,Natural Cure,,Cloud Nine,45,40,60,40,75,50,310,2.6,0.4
514,334,Hoenn,Altaria,dragon,flying,Natural Cure,,Cloud Nine,75,70,90,70,105,80,490,45.4,1.1
515,334,Hoenn,Mega Altaria,dragon,fairy,Pixilate,,,75,110,110,110,105,80,590,45.4,1.5
516,335,Hoenn,Zangoose,normal,,Immunity,,Toxic Boost,73,115,60,60,60,90,458,88.8,1.3
517,336,Hoenn,Seviper,poison,,Shed Skin,,Infiltrator,73,100,60,100,60,65,458,115.7,2.7
518,337,Hoenn,Lunatone,rock,psychic,Levitate,,,90,55,65,95,85,70,460,370.4,1
519,338,Hoenn,Solrock,rock,psychic,Levitate,,,90,95,85,55,65,70,460,339.5,1.2
520,339,Hoenn,Barboach,water,ground,Oblivious,Anticipation,Hydration,50,48,43,46,41,60,288,4.2,0.4
521,340,Hoenn,Whiscash,water,ground,Oblivious,Anticipation,Hydration,110,78,73,76,71,60,468,52,0.9
522,341,Hoenn,Corphish,water,,Hyper Cutter,Shell Armor,Adaptability,43,80,65,50,35,35,308,25.4,0.6
523,342,Hoenn,Crawdaunt,water,dark,Hyper Cutter,Shell Armor,Adaptability,63,120,85,90,55,55,468,72.3,1.1
524,343,Hoenn,Baltoy,ground,psychic,Levitate,,,40,40,55,40,70,55,300,47.4,0.5
525,344,Hoenn,Claydol,ground,psychic,Levitate,,,60,70,105,70,120,75,500,238.1,1.5
526,345,Hoenn,Lileep,rock,grass,Suction Cups,,Storm Drain,66,41,77,61,87,23,355,52.5,1
527,346,Hoenn,Cradily,rock,grass,Suction Cups,,Storm Drain,86,81,97,81,107,43,495,133.2,1.5
528,347,Hoenn,Anorith,rock,bug,Battle Armor,,Swift Swim,45,95,50,40,50,75,355,27.6,0.7
529,348,Hoenn,Armaldo,rock,bug,Battle Armor,,Swift Swim,75,125,100,70,80,45,495,150.4,1.5
530,349,Hoenn,Feebas,water,,Swift Swim,Oblivious,Adaptability,20,15,20,10,55,80,200,16.3,0.6
531,350,Hoenn,Milotic-M,water,,Marvel Scale,Competitive,Cute Charm,95,60,79,100,125,81,540,357.1,6.2
532,350,Hoenn,Milotic-F,water,,Marvel Scale,Competitive,Cute Charm,95,60,79,100,125,81,540,357.1,6.2
533,351,Hoenn,Castform,normal,,Forecast,,,70,70,70,70,70,70,420,1.8,0.3
534,351,Hoenn,Sunny Castform,fire,,Forecast,,,70,70,70,70,70,70,420,1.8,0.3
535,351,Hoenn,Rainy Castform,water,,Forecast,,,70,70,70,70,70,70,420,1.8,0.3
536,351,Hoenn,Snowy Castform,ice,,Forecast,,,70,70,70,70,70,70,420,1.8,0.3
537,352,Hoenn,Kecleon,normal,,Color Change,,Protean,60,90,70,60,120,40,440,48.5,1
538,353,Hoenn,Shuppet,ghost,,Insomnia,Frisk,Cursed Body,44,75,35,63,33,45,295,5.1,0.6
539,354,Hoenn,Banette,ghost,,Insomnia,Frisk,Cursed Body,64,115,65,83,63,65,455,27.6,1.1
540,354,Hoenn,Mega Banette,ghost,,Prankster,,,64,165,75,93,83,75,555,28.7,1.2
541,355,Hoenn,Duskull,ghost,,Levitate,,Frisk,20,40,90,30,90,25,295,33.1,0.8
542,356,Hoenn,Dusclops,ghost,,Pressure,,Frisk,40,70,130,60,130,25,455,67.5,1.6
543,357,Hoenn,Tropius,grass,flying,Chlorophyll,Solar Power,Harvest,99,68,83,72,87,51,460,220.5,2
544,358,Hoenn,Chimecho,psychic,,Levitate,,,75,50,80,95,90,65,455,2.2,0.6
545,359,Hoenn,Absol,dark,,Pressure,Super Luck,Justified,65,130,60,75,60,75,465,103.6,1.2
546,359,Hoenn,Mega Absol,dark,,Magic Bounce,,,65,150,60,115,60,115,565,108,1.2
547,360,Hoenn,Wynaut,psychic,,Shadow Tag,,Telepathy,95,23,48,23,48,23,260,30.9,0.6
548,361,Hoenn,Snorunt,ice,,Inner Focus,Ice Body,Moody,50,50,50,50,50,50,300,37,0.7
549,362,Hoenn,Glalie,ice,,Inner Focus,Ice Body,Moody,80,80,80,80,80,80,480,565.5,1.5
550,362,Hoenn,Mega Glalie,ice,,Refrigerate,,,80,120,80,120,80,100,580,772.1,2.1
551,363,Hoenn,Spheal,ice,water,Thick Fat,Ice Body,Oblivious,70,40,50,55,50,25,290,87.1,0.8
552,364,Hoenn,Sealeo,ice,water,Thick Fat,Ice Body,Oblivious,90,60,70,75,70,45,410,193.1,1.1
553,365,Hoenn,Walrein,ice,water,Thick Fat,Ice Body,Oblivious,110,80,90,95,90,65,530,332,1.4
554,366,Hoenn,Clamperl,water,,Shell Armor,,Rattled,35,64,85,74,55,32,345,115.7,0.4
555,367,Hoenn,Huntail,water,,Swift Swim,,Water Veil,55,104,105,94,75,52,485,59.5,1.7
556,368,Hoenn,Gorebyss,water,,Swift Swim,,Hydration,55,84,105,114,75,52,485,49.8,1.8
557,369,Hoenn,Relicanth-M,water,rock,Swift Swim,Rock Head,Sturdy,100,90,130,45,65,55,485,51.6,1
558,369,Hoenn,Relicanth-F,water,rock,Swift Swim,Rock Head,Sturdy,100,90,130,45,65,55,485,51.6,1
559,370,Hoenn,Luvdisc,water,,Swift Swim,,Hydration,43,30,55,40,65,97,330,19.2,0.6
560,371,Hoenn,Bagon,dragon,,Rock Head,,Sheer Force,45,75,60,40,30,50,300,92.8,0.6
561,372,Hoenn,Shelgon,dragon,,Rock Head,,Overcoat,65,95,100,60,50,50,420,243.6,1.1
562,373,Hoenn,Salamence,dragon,flying,Intimidate,,Moxie,95,135,80,110,80,100,600,226.2,1.5
563,373,Hoenn,Mega Salamence,dragon,flying,Aerialate,,,95,145,130,120,90,120,700,248.2,1.8
564,374,Hoenn,Beldum,steel,psychic,Clear Body,,Light Metal,40,55,80,35,60,30,300,209.9,0.6
565,375,Hoenn,Metang,steel,psychic,Clear Body,,Light Metal,60,75,100,55,80,50,420,446.5,1.2
566,376,Hoenn,Metagross,steel,psychic,Clear Body,,Light Metal,80,135,130,95,90,70,600,1212.5,1.6
567,376,Hoenn,Mega Metagross,steel,psychic,Tough Claws,,,80,145,150,105,110,110,700,2078.7,2.5
568,377,Hoenn,Regirock,rock,,Clear Body,,Sturdy,80,100,200,50,100,50,580,507.1,1.7
569,378,Hoenn,Regice,ice,,Clear Body,,Ice Body,80,50,100,100,200,50,580,385.8,1.8
570,379,Hoenn,Registeel,steel,,Clear Body,,Light Metal,80,75,150,75,150,50,580,451.9,1.9
571,380,Hoenn,Latias,dragon,psychic,Levitate,,,80,80,90,110,130,110,600,88.2,1.4
572,380,Hoenn,Mega Latias,dragon,psychic,Levitate,,,80,100,120,140,150,110,700,114.6,1.8
573,381,Hoenn,Latios,dragon,psychic,Levitate,,,80,90,80,130,110,110,600,132.3,2
574,381,Hoenn,Mega Latios,dragon,psychic,Levitate,,,80,130,100,160,120,110,700,154.3,2.3
575,382,Hoenn,Kyogre,water,,Drizzle,,,100,100,90,150,140,90,670,776,4.5
576,382,Hoenn,Primal Kyogre,water,,Primordial Sea,,,100,150,90,180,160,90,770,948,9.8
577,383,Hoenn,Groudon,ground,,Drought,,,100,150,140,100,90,90,670,2094.4,3.5
578,383,Hoenn,Primal Groudon,ground,fire,Desolate Land,,,100,180,160,150,90,90,770,2204,5
579,384,Hoenn,Rayquaza,dragon,flying,Air Lock,,,105,150,90,150,90,95,680,455.3,7
580,384,Hoenn,Mega Rayquaza,dragon,flying,Delta Stream,,,105,180,100,180,100,115,780,864.2,10.8
581,385,Hoenn,Jirachi,steel,psychic,Serene Grace,,,100,100,100,100,100,100,600,2.4,0.3
582,386,Hoenn,Deoxys,psychic,,Pressure,,,50,150,50,150,50,150,600,134,1.7
583,386,Hoenn,Attack Form Deoxys,psychic,,Pressure,,,50,180,20,180,20,150,600,134,1.7
584,386,Hoenn,Defense Form Deoxys,psychic,,Pressure,,,50,70,160,70,160,90,600,134,1.7
585,386,Hoenn,Speed Form Deoxys,psychic,,Pressure,,,50,95,90,95,90,180,600,134,1.7
586,387,Sinnoh,Turtwig,grass,,Overgrow,,Shell Armor,55,68,64,45,55,31,318,22.5,0.4
587,388,Sinnoh,Grotle,grass,,Overgrow,,Shell Armor,75,89,85,55,65,36,405,213.8,1.1
588,389,Sinnoh,Torterra,grass,ground,Overgrow,,Shell Armor,95,109,105,75,85,56,525,683.4,2.2
589,390,Sinnoh,Chimchar,fire,,Blaze,,Iron Fist,44,58,44,58,44,61,309,13.7,0.5
590,391,Sinnoh,Monferno,fire,fighting,Blaze,,Iron Fist,64,78,52,78,52,81,405,48.5,0.9
591,392,Sinnoh,Infernape,fire,fighting,Blaze,,Iron Fist,76,104,71,104,71,108,534,121.3,1.2
592,393,Sinnoh,Piplup,water,,Torrent,,Defiant,53,51,53,61,56,40,314,11.5,0.4
593,394,Sinnoh,Prinplup,water,,Torrent,,Defiant,64,66,68,81,76,50,405,50.7,0.8
594,395,Sinnoh,Empoleon,water,steel,Torrent,,Defiant,84,86,88,111,101,60,530,186.3,1.7
595,396,Sinnoh,Starly-M,normal,flying,Keen Eye,,Reckless,40,55,30,30,30,60,245,4.4,0.3
596,396,Sinnoh,Starly-F,normal,flying,Keen Eye,,Reckless,40,55,30,30,30,60,245,4.4,0.3
597,397,Sinnoh,Staravia-M,normal,flying,Intimidate,,Reckless,55,75,50,40,40,80,340,34.2,0.6
598,397,Sinnoh,Staravia-F,normal,flying,Intimidate,,Reckless,55,75,50,40,40,80,340,34.2,0.6
599,398,Sinnoh,Staraptor-M,normal,flying,Intimidate,,Reckless,85,120,70,50,60,100,485,54.9,1.2
600,398,Sinnoh,Staraptor-F,normal,flying,Intimidate,,Reckless,85,120,70,50,60,100,485,54.9,1.2
601,399,Sinnoh,Bidoof-M,normal,,Simple,Unaware,Moody,59,45,40,35,40,31,250,44.1,0.5
602,399,Sinnoh,Bidoof-F,normal,,Simple,Unaware,Moody,59,45,40,35,40,31,250,44.1,0.5
603,400,Sinnoh,Bibarel-M,normal,water,Simple,Unaware,Moody,79,85,60,55,60,71,410,69.4,1
604,400,Sinnoh,Bibarel-F,normal,water,Simple,Unaware,Moody,79,85,60,55,60,71,410,69.4,1
605,401,Sinnoh,Kricketot-M,bug,,Shed Skin,,Run Away,37,25,41,25,41,25,194,4.9,0.3
606,401,Sinnoh,Kricketot-F,bug,,Shed Skin,,Run Away,37,25,41,25,41,25,194,4.9,0.3
607,402,Sinnoh,Kricketune-M,bug,,Swarm,,Technician,77,85,51,55,51,65,384,56.2,1
608,402,Sinnoh,Kricketune-F,bug,,Swarm,,Technician,77,85,51,55,51,65,384,56.2,1
609,403,Sinnoh,Shinx-M,electric,,Rivalry,Intimidate,Guts,45,65,34,40,34,45,263,20.9,0.5
610,403,Sinnoh,Shinx-F,electric,,Rivalry,Intimidate,Guts,45,65,34,40,34,45,263,20.9,0.5
611,404,Sinnoh,Luxio-M,electric,,Rivalry,Intimidate,Guts,60,85,49,60,49,60,363,67.2,0.9
612,404,Sinnoh,Luxio-F,electric,,Rivalry,Intimidate,Guts,60,85,49,60,49,60,363,67.2,0.9
613,405,Sinnoh,Luxray-M,electric,,Rivalry,Intimidate,Guts,80,120,79,95,79,70,523,92.6,1.4
614,405,Sinnoh,Luxray-F,electric,,Rivalry,Intimidate,Guts,80,120,79,95,79,70,523,92.6,1.4
615,406,Sinnoh,Budew,grass,poison,Mold Breaker,,Sheer Force,40,30,35,50,70,55,280,2.6,0.2
616,407,Sinnoh,Roserade-M,grass,poison,Mold Breaker,,Sheer Force,60,70,65,125,105,90,515,32,0.9
617,407,Sinnoh,Roserade-F,grass,poison,Mold Breaker,,Sheer Force,60,70,65,125,105,90,515,32,0.9
618,408,Sinnoh,Cranidos,rock,,Sturdy,,Soundproof,67,125,40,30,30,58,350,69.4,0.9
619,409,Sinnoh,Rampardos,rock,,Sturdy,,Soundproof,97,165,60,65,50,58,495,220.6,1.6
620,410,Sinnoh,Shieldon,rock,steel,Shed Skin,,Overcoat,30,42,118,42,88,30,350,125.7,0.5
621,411,Sinnoh,Bastiodon,rock,steel,Shed Skin,,Overcoat,60,52,168,47,138,30,495,329.6,1.3
622,412,Sinnoh,Plant Cloak Burmy,bug,,Shed Skin,,Overcoat,40,29,45,29,45,36,224,7.5,0.2
623,412,Sinnoh,Sandy Cloak Burmy,bug,,Shed Skin,,Overcoat,40,29,45,29,45,36,224,7.5,0.2
624,412,Sinnoh,Trash Cloak Burmy,bug,,Shed Skin,,Overcoat,40,29,45,29,45,36,224,7.5,0.2
625,413,Sinnoh,Plant Cloak Wormadam,bug,grass,Anticipation,,Overcoat,60,59,85,79,105,36,424,14.3,0.5
626,413,Sinnoh,Sandy Cloak Wormadam,bug,ground,Anticipation,,Overcoat,60,79,105,59,85,36,424,14.3,0.5
627,413,Sinnoh,Trash Cloak Wormadam,bug,steel,Anticipation,,Overcoat,60,69,95,69,95,36,424,14.3,0.5
628,414,Sinnoh,Mothim,bug,flying,Swarm,,Tinted Lens,70,94,50,94,50,66,424,51.4,0.9
629,415,Sinnoh,Combee-M,bug,flying,Honey Gather,,Hustle,30,30,42,30,42,70,244,12.1,0.3
630,415,Sinnoh,Combee-F,bug,flying,Honey Gather,,Hustle,30,30,42,30,42,70,244,12.1,0.3
631,416,Sinnoh,Vespiquen,bug,flying,Pressure,,Unnerve,70,80,102,80,102,40,474,84.9,1.2
632,417,Sinnoh,Pachirisu-M,electric,,Run Away,Pickup,Volt Absorb,60,45,70,45,90,95,405,8.6,0.4
633,417,Sinnoh,Pachirisu-F,electric,,Run Away,Pickup,Volt Absorb,60,45,70,45,90,95,405,8.6,0.4
634,418,Sinnoh,Buizel-M,water,,Swift Swim,,Water Veil,55,65,35,60,30,85,330,65,0.7
635,418,Sinnoh,Buizel-F,water,,Swift Swim,,Water Veil,55,65,35,60,30,85,330,65,0.7
636,419,Sinnoh,Floatzel-M,water,,Swift Swim,,Water Veil,85,105,55,85,50,115,495,73.9,1.1
637,419,Sinnoh,Floatzel-F,water,,Swift Swim,,Water Veil,85,105,55,85,50,115,495,73.9,1.1
638,420,Sinnoh,Cherubi,grass,,Chlorophyll,,,45,35,45,62,53,35,275,7.3,0.4
639,421,Sinnoh,Overcast Cherrim,grass,,Flower Gift,,,70,60,70,87,78,85,450,20.5,0.5
640,421,Sinnoh,Sunshine Cherrim,grass,,Flower Gift,,,70,60,70,87,78,85,450,20.5,0.5
641,422,Sinnoh,Shellos-East,water,,Sticky Hold,Storm Drain,Sand Force,76,48,48,57,62,34,325,13.9,0.3
642,422,Sinnoh,Shellos-West,water,,Sticky Hold,Storm Drain,Sand Force,76,48,48,57,62,34,325,13.9,0.3
643,423,Sinnoh,Gastrodon-East,water,ground,Sticky Hold,Storm Drain,Sand Force,111,83,68,92,82,39,475,65.9,0.9
644,423,Sinnoh,Gastrodon-West,water,ground,Sticky Hold,Storm Drain,Sand Force,111,83,68,92,82,39,475,65.9,0.9
645,424,Sinnoh,Ambipom-M,normal,,Technician,Pickup,Skill Link,75,100,66,60,66,115,482,44.8,1.2
646,424,Sinnoh,Ambipom-F,normal,,Technician,Pickup,Skill Link,75,100,66,60,66,115,482,44.8,1.2
647,425,Sinnoh,Drifloon,ghost,flying,Aftermath,Unburden,Flare Boost,90,50,34,60,44,70,348,2.6,0.4
648,426,Sinnoh,Drifblim,ghost,flying,Aftermath,Unburden,Flare Boost,150,80,44,90,54,80,498,33.1,1.2
649,427,Sinnoh,Buneary,normal,,Run Away,Klutz,Limber,55,66,44,44,56,85,350,12.1,0.4
650,428,Sinnoh,Lopunny,normal,,Cute Charm,Klutz,Limber,65,76,84,54,96,105,480,73.4,1.2
651,428,Sinnoh,Mega Lopunny,normal,fighting,Scrappy,,,65,136,94,54,96,135,580,62.4,1.3
652,429,Sinnoh,Mismagius,ghost,,Levitate,,,60,60,60,105,105,105,495,9.7,0.9
653,430,Sinnoh,Honchkrow,dark,flying,Insomnia,Super Luck,Moxie,100,125,52,105,52,71,505,60.2,0.9
654,431,Sinnoh,Glameow,normal,,Limber,Own Tempo,Keen Eye,49,55,42,42,37,85,310,8.6,0.5
655,432,Sinnoh,Purugly,normal,,Thick Fat,Own Tempo,Defiant,71,82,64,64,59,112,452,96.6,1
656,433,Sinnoh,Chingling,psychic,,Levitate,,,45,30,50,65,50,45,285,1.3,0.2
657,434,Sinnoh,Stunky,poison,dark,Stench,Aftermath,Keen Eye,63,63,47,41,41,74,329,42.3,0.4
658,435,Sinnoh,Skuntank,poison,dark,Stench,Aftermath,Keen Eye,103,93,67,71,61,84,479,83.8,1
659,436,Sinnoh,Bronzor,steel,psychic,Levitate,Heatproof,Heavy Metal,57,24,86,24,86,23,300,133.4,0.5
660,437,Sinnoh,Bronzong,steel,psychic,Levitate,Heatproof,Heavy Metal,67,89,116,79,116,33,500,412.3,1.3
661,438,Sinnoh,Bonsly,rock,,Sturdy,Rock Head,Rattled,50,80,95,10,45,10,290,33.1,0.5
662,439,Sinnoh,Mime Jr.,psychic,fairy,Soundproof,Filter,Technician,20,25,45,70,90,60,310,28.7,0.6
663,440,Sinnoh,Happiny,normal,,Natural Cure,Serene Grace,Friend Guard,100,5,5,15,65,30,220,53.8,0.6
664,441,Sinnoh,Chatot,normal,flying,Keen Eye,Tangled Feet,Big Pecks,76,65,45,92,42,91,411,4.2,0.5
665,442,Sinnoh,Spiritomb,ghost,dark,Pressure,,Infiltrator,50,92,108,92,108,35,485,238.1,1
666,443,Sinnoh,Gible-M,dragon,ground,Sand Veil,,Rough Skin,58,70,45,40,45,42,300,45.2,0.7
667,443,Sinnoh,Gible-F,dragon,ground,Sand Veil,,Rough Skin,58,70,45,40,45,42,300,45.2,0.7
668,444,Sinnoh,Gabite-M,dragon,ground,Sand Veil,,Rough Skin,68,90,65,50,55,82,410,123.5,1.4
669,444,Sinnoh,Gabite-F,dragon,ground,Sand Veil,,Rough Skin,68,90,65,50,55,82,410,123.5,1.4
670,445,Sinnoh,Garchomp-M,dragon,ground,Sand Veil,,Rough Skin,108,130,95,80,85,102,600,209.4,1.9
671,445,Sinnoh,Garchomp-F,dragon,ground,Sand Veil,,Rough Skin,108,130,95,80,85,102,600,209.4,1.9
672,445,Sinnoh,Mega Garchomp,dragon,ground,Sand Force,,,108,170,115,120,95,92,700,209.4,1.9
673,446,Sinnoh,Munchlax,normal,,Pickup,Thick Fat,Gluttony,135,85,40,40,85,5,390,231.5,0.6
674,447,Sinnoh,Riolu,fighting,,Steadfast,Inner Focus,Prankster,40,70,40,35,40,60,285,44.5,0.7
675,448,Sinnoh,Lucario,fighting,steel,Steadfast,Inner Focus,Justified,70,110,70,115,70,90,525,119,1.2
676,448,Sinnoh,Mega Lucario,fighting,steel,Adaptability,,,70,145,88,140,70,112,625,126.8,1.3
677,449,Sinnoh,Hippopotas-M,ground,,Sand Stream,,Sand Force,68,72,78,38,42,32,330,109.1,0.8
678,449,Sinnoh,Hippopotas-F,ground,,Sand Stream,,Sand Force,68,72,78,38,42,32,330,109.1,0.8
679,450,Sinnoh,Hippowdon-M,ground,,Sand Stream,,Sand Force,108,112,118,68,72,47,525,661.4,2
680,450,Sinnoh,Hippowdon-F,ground,,Sand Stream,,Sand Force,108,112,118,68,72,47,525,661.4,2
681,451,Sinnoh,Skorupi,poison,bug,Battle Armor,Sniper,Keen Eye,40,50,90,30,55,65,330,26.5,0.8
682,452,Sinnoh,Drapion,poison,dark,Battle Armor,Sniper,Keen Eye,70,90,110,60,75,95,500,135.6,1.3
683,453,Sinnoh,Croagunk-M,poison,fighting,Anticipation,Dry Skin,Poison Touch,48,61,40,61,40,50,300,50.7,0.7
684,453,Sinnoh,Croagunk-F,poison,fighting,Anticipation,Dry Skin,Poison Touch,48,61,40,61,40,50,300,50.7,0.7
685,454,Sinnoh,Toxicroak-M,poison,fighting,Anticipation,Dry Skin,Poison Touch,83,106,65,86,65,85,490,97.9,1.3
686,454,Sinnoh,Toxicroak-F,poison,fighting,Anticipation,Dry Skin,Poison Touch,83,106,65,86,65,85,490,97.9,1.3
687,455,Sinnoh,Carnivine,grass,,Levitate,,,74,100,72,90,72,46,454,59.5,1.4
688,456,Sinnoh,Finneon-M,water,,Swift Swim,Storm Drain,Water Veil,49,49,56,49,61,66,330,15.4,0.4
689,456,Sinnoh,Finneon-F,water,,Swift Swim,Storm Drain,Water Veil,49,49,56,49,61,66,330,15.4,0.4
690,457,Sinnoh,Lumineon-M,water,,Swift Swim,Storm Drain,Water Veil,69,69,76,69,86,91,460,52.9,1.2
691,457,Sinnoh,Lumineon-F,water,,Swift Swim,Storm Drain,Water Veil,69,69,76,69,86,91,460,52.9,1.2
692,458,Sinnoh,Mantyke,water,flying,Swift Swim,Water Absorb,Water Veil,45,20,50,60,120,50,345,143.3,1
693,459,Sinnoh,Snover-M,grass,ice,Snow Warning,,Soundproof,60,62,50,62,60,40,334,111.3,1
694,459,Sinnoh,Snover-F,grass,ice,Snow Warning,,Soundproof,60,62,50,62,60,40,334,111.3,1
695,460,Sinnoh,Abomasnow-M,grass,ice,Snow Warning,,Soundproof,90,92,75,92,85,60,494,298.7,2.2
696,460,Sinnoh,Abomasnow-F,grass,ice,Snow Warning,,Soundproof,90,92,75,92,85,60,494,298.7,2.2
697,460,Sinnoh,Mega Abomasnow,grass,ice,Snow Warning,,,90,132,105,132,105,30,594,407.9,2.7
698,461,Sinnoh,Weavile-M,dark,ice,Pressure,,Pickpocket,70,120,65,45,85,125,510,75,1.1
699,461,Sinnoh,Weavile-F,dark,ice,Pressure,,Pickpocket,70,120,65,45,85,125,510,75,1.1
700,462,Sinnoh,Magnezone,electric,steel,Magnet Pull,Sturdy,Analytic,70,70,115,130,90,60,535,396.8,1.2
701,463,Sinnoh,Lickilicky,normal,,Own Tempo,Oblivious,Cloud Nine,110,85,95,80,95,50,515,308.6,1.7
702,464,Sinnoh,Rhyperior-M,ground,rock,Lightning Rod,Solid Rock,Reckless,115,140,130,55,55,40,535,623.5,2.4
703,464,Sinnoh,Rhyperior-F,ground,rock,Lightning Rod,Solid Rock,Reckless,115,140,130,55,55,40,535,623.5,2.4
704,465,Sinnoh,Tangrowth-M,grass,,Chlorophyll,Leaf Guard,Regenerator,100,100,125,110,50,50,535,283.5,2
705,465,Sinnoh,Tangrowth-F,grass,,Chlorophyll,Leaf Guard,Regenerator,100,100,125,110,50,50,535,283.5,2
706,466,Sinnoh,Electivire,electric,,Motor Drive,,Vital Spirit,75,123,67,95,85,95,540,305.6,1.8
707,467,Sinnoh,Magmortar,fire,,Flame Body,,Vital Spirit,75,95,67,125,95,83,540,149.9,1.6
708,468,Sinnoh,Togekiss,fairy,flying,Hustle,Serene Grace,Super Luck,85,50,95,120,115,80,545,83.8,1.5
709,469,Sinnoh,Yanmega,bug,flying,Speed Boost,Tinted Lens,Frisk,86,76,86,116,56,95,515,113.5,1.9
710,470,Sinnoh,Leafeon,grass,,Leaf Guard,,Chlorophyll,65,110,130,60,65,95,525,56.2,1
711,471,Sinnoh,Glaceon,ice,,Snow Cloak,,Ice Body,65,60,110,130,95,65,525,57.1,0.8
712,472,Sinnoh,Gliscor,ground,flying,Hyper Cutter,Sand Veil,Poison Heal,75,95,125,45,75,95,510,93.7,2
713,473,Sinnoh,Mamoswine-M,ice,ground,Oblivious,Snow Cloak,Thick Fat,110,130,80,70,60,80,530,641.5,2.5
714,473,Sinnoh,Mamoswine-F,ice,ground,Oblivious,Snow Cloak,Thick Fat,110,130,80,70,60,80,530,641.5,2.5
715,474,Sinnoh,Porygon-Z,normal,,Adaptability,Download,Analytic,85,80,70,135,75,90,535,75,0.9
716,475,Sinnoh,Gallade,psychic,fighting,Steadfast,,Justified,68,125,65,65,115,80,518,114.6,1.6
